id,yield
15289,7679.134
15290,7700.9863
15291,7635.7393
15292,7711.8955
15293,7679.134
15294,7700.9863
15295,7377.134
15296,7700.9863
15297,7640.8525
15298,7679.134
15299,7711.8955
15300,7711.8955
15301,7700.9863
15302,7700.9863
15303,7711.8955
15304,7668.2246
15305,7668.2246
15306,7700.9863
15307,7711.8955
15308,7700.9863
15309,7700.9863
15310,7646.6484
15311,7700.9863
15312,7700.9863
15313,7654.087
15314,7700.9863
15315,7668.2246
15316,7640.8525
15317,7700.9863
15318,7651.7617
15319,7640.8525
15320,7377.134
15321,7664.996
15322,7742.3994
15323,7711.8955
15324,7742.3994
15325,7651.7617
15326,7700.9863
15327,7668.2246
15328,7640.8525
15329,7640.8525
15330,7700.9863
15331,7711.8955
15332,7664.996
15333,7654.087
15334,7700.9863
15335,7640.8525
15336,7679.134
15337,7651.7617
15338,7700.9863
15339,7700.9863
15340,7664.996
15341,7700.9863
15342,7700.9863
15343,7711.8955
15344,7700.9863
15345,7668.2246
15346,7700.9863
15347,7654.087
15348,7700.9863
15349,7664.996
15350,7679.134
15351,7711.8955
15352,7700.9863
15353,7664.996
15354,7668.2246
15355,7668.2246
15356,7700.9863
15357,7664.996
15358,7647.497
15359,7700.9863
15360,7668.2246
15361,7700.9863
15362,7700.9863
15363,7664.996
15364,7700.9863
15365,7679.134
15366,7668.2246
15367,7651.7617
15368,7700.9863
15369,7711.8955
15370,7654.087
15371,7677.4146
15372,7668.2246
15373,7700.9863
15374,7711.8955
15375,7700.9863
15376,7700.9863
15377,7711.8955
15378,7700.9863
15379,7711.8955
15380,7646.6484
15381,7700.9863
15382,7700.9863
15383,7635.7393
15384,7711.8955
15385,7679.134
15386,7677.4146
15387,7679.134
15388,7664.996
15389,7700.9863
15390,7651.7617
15391,7654.087
15392,7646.6484
15393,7700.9863
15394,7711.8955
15395,7700.9863
15396,7700.9863
15397,7647.497
15398,7700.9863
15399,7700.9863
15400,7711.8955
15401,7700.9863
15402,7654.087
15403,7700.9863
15404,7635.7393
15405,7647.497
15406,7651.7617
15407,7700.9863
15408,7651.7617
15409,7700.9863
15410,7700.9863
15411,7640.8525
15412,7654.087
15413,7654.087
15414,7711.8955
15415,7700.9863
15416,7654.087
15417,7711.8955
15418,7640.8525
15419,7668.2246
15420,7688.3237
15421,7711.8955
15422,7679.134
15423,7700.9863
15424,7664.996
15425,7664.996
15426,7679.134
15427,7640.8525
15428,7654.087
15429,7635.7393
15430,7654.087
15431,7711.8955
15432,7700.9863
15433,7700.9863
15434,7640.8525
15435,7679.134
15436,7700.9863
15437,7700.9863
15438,7711.8955
15439,7640.8525
15440,7700.9863
15441,7700.9863
15442,7711.8955
15443,7679.134
15444,7700.9863
15445,7677.4146
15446,7700.9863
15447,7654.087
15448,7640.8525
15449,7651.7617
